name,trailer_link,video_id,sentiment_scores,favorability,rating,genre,year,released,votes,director,writer,star,country,budget,gross,company,runtime
Harry Potter and the Goblet of Fire,https://www.youtube.com/watch?v=3EGojp4Hh6I,3EGojp4Hh6I,"{'positive': 87, 'neutral': 112, 'negative': 51}",0.6304347826086957,PG-13,Adventure,2005,"November 18, 2005 (United States)",566000.0,Mike Newell,Steve Kloves,Daniel Radcliffe,United Kingdom,150000000.0,896678241.0,Warner Bros.,157.0
The 40-Year-Old Virgin,https://www.youtube.com/watch?v=YnDeJn-BX5Q,YnDeJn-BX5Q,"{'positive': 40, 'neutral': 45, 'negative': 18}",0.6896551724137931,R,Comedy,2005,"August 19, 2005 (United States)",407000.0,Judd Apatow,Judd Apatow,Steve Carell,United States,26000000.0,177378645.0,Universal Pictures,116.0
Memoirs of a Geisha,https://www.youtube.com/watch?v=4L-xlmakQvc,4L-xlmakQvc,"{'positive': 120, 'neutral': 89, 'negative': 41}",0.7453416149068323,PG-13,Drama,2005,"December 23, 2005 (United States)",141000.0,Rob Marshall,Robin Swicord,Ziyi Zhang,France,85000000.0,162242962.0,Columbia Pictures,145.0
Pride & Prejudice,https://www.youtube.com/watch?v=Ur_DIHs92NM,Ur_DIHs92NM,"{'positive': 93, 'neutral': 98, 'negative': 19}",0.8303571428571429,PG,Drama,2005,"November 23, 2005 (United States)",269000.0,Joe Wright,Deborah Moggach,Keira Knightley,France,28000000.0,121616555.0,Focus Features,129.0
Batman Begins,https://www.youtube.com/watch?v=neY2xVmOfUM,neY2xVmOfUM,"{'positive': 128, 'neutral': 97, 'negative': 25}",0.8366013071895425,PG-13,Action,2005,"June 15, 2005 (United States)",1300000.0,Christopher Nolan,Bob Kane,Christian Bale,United Kingdom,150000000.0,373661946.0,Warner Bros.,140.0
The Descent,https://www.youtube.com/watch?v=CSYg7Z1KS_I,CSYg7Z1KS_I,"{'positive': 90, 'neutral': 68, 'negative': 92}",0.4945054945054945,R,Adventure,2005,"August 4, 2006 (United States)",207000.0,Neil Marshall,Neil Marshall,Shauna Macdonald,United Kingdom,,57130027.0,Celador Films,99.0
Brokeback Mountain,https://www.youtube.com/watch?v=kMA30rThECg,kMA30rThECg,"{'positive': 107, 'neutral': 78, 'negative': 65}",0.622093023255814,R,Drama,2005,"January 13, 2006 (United States)",333000.0,Ang Lee,Annie Proulx,Jake Gyllenhaal,United States,14000000.0,178062759.0,Focus Features,134.0
Sin City,https://www.youtube.com/watch?v=T2Dj6ktPU5c,T2Dj6ktPU5c,"{'positive': 111, 'neutral': 107, 'negative': 32}",0.7762237762237763,R,Crime,2005,"April 1, 2005 (United States)",745000.0,Frank Miller,Frank Miller,Mickey Rourke,United States,40000000.0,158733820.0,Dimension Films,124.0
V for Vendetta,https://www.youtube.com/watch?v=IHVzzxrPt1c,IHVzzxrPt1c,"{'positive': 83, 'neutral': 134, 'negative': 34}",0.7094017094017094,R,Action,2005,"March 17, 2006 (United States)",1100000.0,James McTeigue,Lilly Wachowski,Hugo Weaving,United States,54000000.0,132511035.0,Warner Bros.,132.0
Wedding Crashers,https://www.youtube.com/watch?v=GnD48PD84-8,GnD48PD84-8,"{'positive': 17, 'neutral': 21, 'negative': 10}",0.6296296296296297,R,Comedy,2005,"July 15, 2005 (United States)",339000.0,David Dobkin,Steve Faber,Owen Wilson,United States,40000000.0,288467645.0,New Line Cinema,119.0
War of the Worlds,https://www.youtube.com/watch?v=SM6aEEjc5hA,SM6aEEjc5hA,"{'positive': 100, 'neutral': 82, 'negative': 68}",0.5952380952380952,PG-13,Adventure,2005,"June 29, 2005 (United States)",424000.0,Steven Spielberg,Josh Friedman,Tom Cruise,United States,132000000.0,603873119.0,Paramount Pictures,116.0
Kingdom of Heaven,https://www.youtube.com/watch?v=KartNo8EDWY,KartNo8EDWY,"{'positive': 113, 'neutral': 76, 'negative': 59}",0.6569767441860465,R,Action,2005,"May 6, 2005 (United States)",272000.0,Ridley Scott,William Monahan,Orlando Bloom,United Kingdom,130000000.0,218122627.0,Twentieth Century Fox,144.0
Constantine,https://www.youtube.com/watch?v=DEa508Xmmio,DEa508Xmmio,"{'positive': 98, 'neutral': 118, 'negative': 34}",0.7424242424242424,R,Action,2005,"February 18, 2005 (United States)",317000.0,Francis Lawrence,Jamie Delano,Keanu Reeves,United States,100000000.0,230884728.0,Warner Bros.,121.0
Star Wars: Episode III - Revenge of the Sith,https://www.youtube.com/watch?v=qIYyXcCwvKc,qIYyXcCwvKc,"{'positive': 96, 'neutral': 55, 'negative': 56}",0.631578947368421,PG-13,Action,2005,"May 19, 2005 (United States)",729000.0,George Lucas,George Lucas,Hayden Christensen,United States,113000000.0,868390560.0,Lucasfilm,140.0
King Kong,https://www.youtube.com/watch?v=AYaTCPbYGdk,AYaTCPbYGdk,"{'positive': 116, 'neutral': 100, 'negative': 34}",0.7733333333333333,PG-13,Action,2005,"December 14, 2005 (United States)",403000.0,Peter Jackson,Fran Walsh,Naomi Watts,United States,207000000.0,562363449.0,Universal Pictures,187.0
The Hitchhiker's Guide to the Galaxy,https://www.youtube.com/watch?v=eLdiWe_HJv4,eLdiWe_HJv4,"{'positive': 97, 'neutral': 112, 'negative': 42}",0.697841726618705,PG,Adventure,2005,"April 29, 2005 (United States)",190000.0,Garth Jennings,Douglas Adams,Martin Freeman,United Kingdom,50000000.0,104478416.0,Touchstone Pictures,109.0
Fantastic Four,https://www.youtube.com/watch?v=_rRoD28-WgU,_rRoD28-WgU,"{'positive': 103, 'neutral': 92, 'negative': 55}",0.6518987341772152,PG-13,Action,2005,"July 8, 2005 (United States)",316000.0,Tim Story,Mark Frost,Ioan Gruffudd,United States,100000000.0,333535934.0,Twentieth Century Fox,106.0
Fantastic Four,https://www.youtube.com/watch?v=_rRoD28-WgU,_rRoD28-WgU,"{'positive': 103, 'neutral': 92, 'negative': 55}",0.6518987341772152,PG-13,Action,2015,"August 7, 2015 (United States)",156000.0,Josh Trank,Jeremy Slater,Miles Teller,United States,120000000.0,167882881.0,Twentieth Century Fox,100.0
Green Street Hooligans,https://www.youtube.com/watch?v=EAe-1Lv1KYU,EAe-1Lv1KYU,"{'positive': 91, 'neutral': 95, 'negative': 65}",0.5833333333333334,R,Crime,2005,"September 9, 2005 (United Kingdom)",144000.0,Lexi Alexander,Lexi Alexander,Elijah Wood,United Kingdom,,3814717.0,Baker Street,109.0
Serenity,https://www.youtube.com/watch?v=k3zMlsEK8xA,k3zMlsEK8xA,"{'positive': 91, 'neutral': 87, 'negative': 72}",0.558282208588957,PG-13,Action,2005,"September 30, 2005 (United States)",287000.0,Joss Whedon,Joss Whedon,Nathan Fillion,United States,39000000.0,40445129.0,Universal Pictures,119.0
Serenity,https://www.youtube.com/watch?v=k3zMlsEK8xA,k3zMlsEK8xA,"{'positive': 91, 'neutral': 87, 'negative': 72}",0.558282208588957,R,Drama,2019,"January 25, 2019 (United States)",38000.0,Steven Knight,Steven Knight,Matthew McConaughey,United Kingdom,25000000.0,14454622.0,Blue Budgie Films Limited,106.0
Mr. & Mrs. Smith,https://www.youtube.com/watch?v=CZ0B22z22pI,CZ0B22z22pI,"{'positive': 91, 'neutral': 117, 'negative': 42}",0.6842105263157895,PG-13,Action,2005,"June 10, 2005 (United States)",461000.0,Doug Liman,Simon Kinberg,Brad Pitt,United States,110000000.0,487287646.0,New Regency Productions,120.0
The Island,https://www.youtube.com/watch?v=_ZyNJ3cKfEg,_ZyNJ3cKfEg,"{'positive': 105, 'neutral': 94, 'negative': 51}",0.6730769230769231,R,Action,1980,"June 13, 1980 (United States)",3900.0,Michael Ritchie,Peter Benchley,Michael Caine,United States,22000000.0,15716828.0,Universal Pictures,109.0
The Island,https://www.youtube.com/watch?v=_ZyNJ3cKfEg,_ZyNJ3cKfEg,"{'positive': 105, 'neutral': 94, 'negative': 51}",0.6730769230769231,PG-13,Action,2005,"July 22, 2005 (United States)",304000.0,Michael Bay,Caspian Tredwell-Owen,Scarlett Johansson,United States,126000000.0,162949164.0,Dreamworks Pictures,136.0
Waiting...,https://www.youtube.com/watch?v=xmvVbSO8LpA,xmvVbSO8LpA,"{'positive': 23, 'neutral': 12, 'negative': 7}",0.7666666666666667,R,Comedy,2005,"October 7, 2005 (United States)",93000.0,Rob McKittrick,Rob McKittrick,Ryan Reynolds,United States,3000000.0,18637690.0,Eden Rock Media,94.0
Match Point,https://www.youtube.com/watch?v=wISRAOb6xm0,wISRAOb6xm0,"{'positive': 67, 'neutral': 50, 'negative': 47}",0.5877192982456141,R,Drama,2005,"January 20, 2006 (United States)",209000.0,Woody Allen,Woody Allen,Scarlett Johansson,United Kingdom,15000000.0,85638656.0,BBC Films,124.0
Hostel,https://www.youtube.com/watch?v=C2Kfp3zVBKs,C2Kfp3zVBKs,"{'positive': 41, 'neutral': 58, 'negative': 43}",0.4880952380952381,R,Horror,2005,"January 6, 2006 (United States)",172000.0,Eli Roth,Eli Roth,Jay Hernandez,United States,4800000.0,81979826.0,Next Entertainment,94.0
Assault on Precinct 13,https://www.youtube.com/watch?v=7wnAjYDVObs,7wnAjYDVObs,"{'positive': 55, 'neutral': 52, 'negative': 30}",0.6470588235294118,R,Action,2005,"January 19, 2005 (United States)",75000.0,Jean-François Richet,John Carpenter,Ethan Hawke,France,30000000.0,35294470.0,Rogue Pictures,109.0
Hard Candy,https://www.youtube.com/watch?v=hvx0m2SeOSk,hvx0m2SeOSk,"{'positive': 85, 'neutral': 90, 'negative': 75}",0.53125,R,Drama,2005,"April 28, 2006 (United States)",156000.0,David Slade,Brian Nelson,Patrick Wilson,United States,950000.0,7022209.0,Lions Gate Films,104.0
The Sisterhood of the Traveling Pants,https://www.youtube.com/watch?v=zZTe39RDERw,zZTe39RDERw,"{'positive': 6, 'neutral': 0, 'negative': 0}",1.0,PG,Comedy,2005,"June 1, 2005 (United States)",56000.0,Ken Kwapis,Ann Brashares,Amber Tamblyn,United States,25000000.0,42013878.0,Alcon Entertainment,119.0
The Longest Yard,https://www.youtube.com/watch?v=biEgx-g4V_g,biEgx-g4V_g,"{'positive': 12, 'neutral': 11, 'negative': 4}",0.75,PG-13,Comedy,2005,"May 27, 2005 (United States)",167000.0,Peter Segal,Albert S. Ruddy,Adam Sandler,United States,82000000.0,191466556.0,Paramount Pictures,113.0
